timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-07-18T11:30:38+08:00	c631156	ai-video-director	-	82.0	baseline	-	raw=81.2/99; normalized=82.0/100; D8=9.0; baseline_mean=4.4; runtime_warn=0; full_tests=3/3	full_test
2026-07-18T11:57:52+08:00	5493106	ai-video-director	82.0	86.3	keep	D4-checkpoints	D4=3->10; conservative D8 held at 9.0; effect judges split and tiebreak=keep; P2 visible checkpoint probe pass; runtime_warn=0	full_test
2026-07-18T12:17:52+08:00	68522ee	ai-video-director	86.3	93.5	keep	D3-recovery	D3=4->10; conservative D8 held at 9.0; P3 fact-expansion regression caught by split judges, repaired in-round, targeted retest and tiebreak=keep; runtime_warn=0	full_test
2026-07-18T12:28:25+08:00	40b427f	ai-video-director	93.5	95.3	keep	D5-executable-records	D5=9->10; conservative D8 held at 9.0 despite both effect judges scoring improvement; P2 no gate leakage; P1/P3 explicit per-shot and per-provider records; runtime_warn=0	full_test
2026-07-18T21:56:12+08:00	a024907	ai-video-director	-	88.7	baseline	-	raw=87.8/99; normalized=88.7/100; D8=6.1; no_skill_mean=5.5; pairwise_skill_wins=1/3; negative_transfer=P4,P5; runtime_warn=0; full_tests=3/3	full_test
2026-07-18T22:43:21+08:00	1dba6e1	ai-video-director	88.7	93.7	keep	D8-input-sufficiency	D8=6.1->8.5; avg_new_wins=P4,P5,P7; judge_decisions=5/6 new; rights targeted judges=2/2 no regression; static=73.2/76 conservative; runtime_warn=0; full_tests=3/3+P5	full_test
2026-07-18T23:06:11+08:00	a819255	ai-video-director	93.7	96.9	keep	D8-stage-evidence	D8=8.5->9.7; round2 new wins=P4,P5,P7; judges=2/2 unanimous; static=73.6/76; final recovery repair judges=2/2 prefer final; runtime_warn=0; unit_tests=99/99; full_tests=3/3+P7	full_test
2026-07-19T20:26:50+08:00	130e6c9	aibiandao	-	92.5	baseline	-	raw=91.6/99; normalized=92.5/100; static=70.4/76; D8=9.2; no_skill_mean=8.9; pairwise_skill_wins=6/6; context_reused=1; runtime_warn=0; unit_tests=304/304; effect_tests=3/3	full_test
2026-07-19T20:47:32+08:00	2833f87	aibiandao	92.5	94.6	keep	D6-resource-integration	D6=6.0->10.0; D8=9.2->9.4; targeted_judges=4/4 prefer new on P8/P10; P1 effect held at baseline after generation timeout and router-isolation audit; context_reused=1; runtime_warn=0; unit_tests=304/304; edit_smoke=valid+dry_run_passed	full_test
2026-07-19T20:51:11+08:00	6bcb57a	aibiandao	94.6	95.3	keep	D1-frontmatter-triggers	D1=9.0->10.0; frontmatter_judges=2/2 prefer new; positive_recall=P1,P8,P10; negative_precision=Premiere-shortcuts,novel,static-poster; description_chars=562; context_reused=1; runtime_warn=0; unit_tests=304/304	full_test
2026-07-19T21:04:21+08:00	0edb4e9	aibiandao	95.3	96.9	keep	D7-output-density	D7=9.0->10.0; D8=9.4->9.6; targeted_judges=4/4 prefer new on P8/P10; required per-unit evidence preserved; shared Canon/blocker/authorization deduplicated; context_reused=1; runtime_warn=0; unit_tests=304/304; auto_break=two_consecutive_deltas_lt_2	full_test
2026-07-21T10:43:27+08:00	0b870cd	aibiandao	96.9	98.3	keep	D8-cinematic-acceptance	static=74.3/76; D8=10.0; P11/P12/adversarial=3/3; assertions=17/17; first_round_red_then_targeted_TDD; prompt_catalog=12/12; runtime_warn=0; unit_tests=425/425	full_test
2026-07-21T11:42:57+08:00	3fc6b2d	aibiandao	98.3	98.3	correct	D8-full-prompt-regression	supersedes=0b870cd; strict_improvement_basis=96.9->98.3; P01-P12=12/12; P04/P10=red_then_fresh_pass; runtime_warn=0; unit_tests=427/427	full_test
